,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0006688,"('Augy Holliday', 'actor')","('Gladys - the Girl', 'actress')","('Roland Dabney', 'actor')","('Harry Hansum', 'actor')","('Automatic Joe', 'actor')","('Phyllis', 'actress')","('Mrs. Kingsley', 'actress')",,,,,,,,,,,
0006731,"('Grace Remington', 'actress')","('John Remington', 'actor')","(""Remingtons' Child"", 'actress')","(""Remingtons' Child"", 'actor')","(""Remingtons' Child"", 'actress')","('Maid', 'actress')",,,,,,,,,,,,
0006736,"(""Passin' Through"", 'actor')","('The Wolf', 'actor')","('Bud Frazer', 'actor')","('U.S. Marshal', 'actor')","('Bob Evans', 'actor')","('Weazel', 'actor')","('The Girl', 'actress')","('Sarah May', 'actress')","('Jane Stuart', 'actress')","('Thomas Stuart', 'actor')",,,,,,,,
0006745,"('Gretchen Van Houck', 'actress')","('Jan Van Houck', 'actor')","('Rodgers', 'actor')","('Mystery Ship Captain', 'actor')","('Pietro', 'actor')","('Little Nicky Garrity', 'actor')","('Widow Garrity', 'actress')",,,,,,,,,,,
0006753,"('Lo Dorman (Sleeping Water)', 'actor')","('Teresa', 'actress')","('Sheriff Dunn', 'actor')","('Dick Curson', 'actor')",,,,,,,,,,,,,,
0006780,"('Blaze Tracy', 'actor')","('Faith Henley', 'actress')","('Rev. Robert Henley', 'actor')","('Silk Miller', 'actor')",,,,,,,,,,,,,,
0006809,"('Pete Prindle', 'actor')","('Proteus Prindle', 'actor')","('Pansy Prindle', 'actress')","('Pearl Prindle', 'actress')","('Cassius Cadwalader', 'actor')","('Christine Cadwalader', 'actress')","('Melville', 'actor')","('Olga', 'actress')",,,,,,,,,,
0006826,"('Hoodoo Ann', 'actress')","('Jimmie Vance', 'actor')","('Wilson Vance', 'actor')","('Samuel Knapp', 'actor')","('Elinor Knapp', 'actress')","('Goldie', 'actress')","('Miss Prudence Scraggs', 'actress')",,,,,,,,,,,
0006864,"('The Woman Who Rocks the Cradle', 'actress')","('Eternal Mother', 'actress')","('The Boy', 'actor')","('The Dear One', 'actress')","(""The Dear One's Father"", 'actor')",,,,,,,,,,,,,
0006886,"('Jacques de Tremeuse aka Judex', 'actor')","('Diana Monti aka Marie Verdier', 'actress')","('Le môme Réglisse', 'actor')","('Roger de Tremeuse', 'actor')",,,,,,,,,,,,,,
0007047,"('Jimmie Conroy', 'actor')","('Marna Lewis', 'actress')","(""Mr. Lewis - Marna's Father"", 'actor')","('Rev. Tobias Tubbs', 'actor')",,,,,,,,,,,,,,
0007183,"('The Countess as a young woman', 'actress')","('Hermann', 'actor')","('Lizaveta', 'actress')","('Count of Saint-Germain', 'actor')",,,,,,,,,,,,,,
0007257,"('Reginald (Reggie) Van Deuzen', 'actor')","('Agnes Shannon', 'actress')","('Old Pickleface', 'actor')","('Tony Bernard', 'actor')","('Gallagher', 'actor')","('Sammy - the Dude', 'actor')",,,,,,,,,,,,
0007260,"('Draw Egan aka William Blake', 'actor')","('Myrtle Buckton', 'actress')","('Arizona Joe', 'actor')","('Poppy', 'actress')","('Mat Buckton', 'actor')","('Townsman', 'actor')",,,,,,,,,,,,
0007309,"('Sally Pinkus', 'actor')","('Melitta Herve', 'actress')","('Mr. Meiersohn', 'actor')","('Apprentice', 'actress')",,,,,,,,,,,,,,
0007338,"('Sherlock Holmes', 'actor')","('Alice Faulkner', 'actress')","('Professor Moriarty', 'actor')","('Dr. Watson', 'actor')","('Benjamin Forman', 'actor')","('Sir Edward Leighton', 'actor')","('Baron von Stalburg', 'actor')",,,,,,,,,,,
0007340,"('Eva Meyer', 'actress')","('Dad Meyer', 'actor')","('Mom Meyer', 'actress')","('Lil', 'actress')",,,,,,,,,,,,,,
0007361,"('Queen Brangomar', 'actress')","('Prince Florimond', 'actor')","('Berthold - the Huntsman', 'actor')","('Witch Hex', 'actress')",,,,,,,,,,,,,,
0007367,"('Mayme', 'actress')","('Mrs. de Puyster', 'actress')","('Elsie de Puyster', 'actress')","('Jimmie de Puyster', 'actor')","('The Count', 'actor')","('The Buzzard', 'actor')",,,,,,,,,,,,
0007522,"('Aspiring actor', 'actor')","('Lucia de Zamikow', 'actress')","('Claude Zoret', 'actor')","('Eugene Mikael', 'actor')",,,,,,,,,,,,,,
0007558,"('District Attorney Richard Walton', 'actor')","('Mrs. Richard Walton', 'actress')","('Mrs. William Carlo', 'actress')","(""Walton's Housekeeper"", 'actress')",,,,,,,,,,,,,,
