,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0217671,"('Guy', 'actor')","('John', 'actor')","('Eric', 'actor')","('Bernie', 'actor')",,,,,,,,,,,,,,
0217679,"('Rika Mikami', 'actress')","('Gluttonous Woman', 'actress')","('Vain Woman', 'actress')","('Eiji Kure', 'actor')","(""Yuki Kure, Eiji's mother"", 'actress')",,,,,,,,,,,,,
0217680,"('Nak', 'actress')","('Mak', 'actor')",,,,,,,,,,,,,,,,
0217681,"('Qing Jie', 'actress')","('Xiao Bo', 'actor')","('Da Kang', 'actor')","('Chong Chong', 'actor')",,,,,,,,,,,,,,
0217756,"('Gordie Boggs', 'actor')","('Jimmy King', 'actor')","('Sean Dawkins', 'actor')","('Goldberg', 'actor')",,,,,,,,,,,,,,
0217758,"('Dennis Burke', 'actor')","('Lydia Davis', 'actress')","('Gretchen Van Buren', 'actress')","('Thurston Clarque', 'actor')",,,,,,,,,,,,,,
0217787,"('Gilda Mattei', 'actress')","('Michael De Santis', 'actor')","('Adam', 'actor')","('Jim Johnson', 'actor')",,,,,,,,,,,,,,
0217788,"('Daisy', 'actress')","('Ken', 'actor')","('Marlene', 'actress')","('Billy', 'actor')",,,,,,,,,,,,,,
0217799,"(""Yukie Mitani, the agent's accountant"", 'actress')","('Tokizo Maeda, ex soldier', 'actor')","(""Yoshino, Tokizo's wife"", 'actress')","(""Tomoko, Tokizo's daughter"", 'actress')","('Eisaku Kamiya, the tax collector', 'actor')",,,,,,,,,,,,,
0217802,"('Silver Man', 'actor')","('Jake', 'actor')","('Leon', 'actor')","(""'Tiv' Tivoli"", 'actress')",,,,,,,,,,,,,,
0217811,"('Marga', 'actress')","('Iñaqui', 'actor')","('Rosa', 'actress')","('Trini', 'actress')",,,,,,,,,,,,,,
0217824,"('Charlie Bright', 'actor')","('Justin', 'actor')","('Eddie', 'actor')","('Tony', 'actor')",,,,,,,,,,,,,,
0217841,"('Scientist', 'actor')","('His Shadow', 'actor')","('Butler', 'actor')","(""Piestro, Annuanciata's father, hotel keeper, man eater"", 'actor')","('Prime minister', 'actor')","('Finance minister', 'actor')",,,,,,,,,,,,
0217843,"('Giorgio Martinez', 'actor')","('Isabel Martinez', 'actress')","('Cesar', 'actor')","('Ruben', 'actor')","('Coquis', 'actress')","('Neighbor Lady #1', 'actress')",,,,,,,,,,,,
0217862,"('Norimichi Shimada', 'actor')","('Nazuna Oikawa', 'actress')","('Yusuke Azumi', 'actor')","('Kazuhiro', 'actor')","(""Jyun'ichi"", 'actor')","('Minoru', 'actor')","('Haruko Miura', 'actress')",,,,,,,,,,,
0217869,"('David Dunn', 'actor')","('Elijah Price', 'actor')","('Audrey Dunn', 'actress')","('Joseph Dunn', 'actor')",,,,,,,,,,,,,,
0217894,"('Richard Hudson', 'actor')","('Used Car Dealer', 'actor')","('Bill', 'actor')","('Laura', 'actress')",,,,,,,,,,,,,,
0217895,"('Florence', 'actress')","('Franz', 'actor')","('Friedrich', 'actor')","(""L'hôtelier"", 'actor')",,,,,,,,,,,,,,
0217978,"('The Wife', 'actress')","('The Husband', 'actor')","('Lisa, the Daughter', 'actress')","('The Kidnapper', 'actor')",,,,,,,,,,,,,,
0217979,"('Jack Thomas', 'actor')","('Wendell Mays', 'actor')","('Albert Denning', 'actor')","('Jennifer Lewis', 'actress')",,,,,,,,,,,,,,
0218000,"('Edith Jessie Thompson', 'actress')","('Percy Thompson', 'actor')","('Frederick Edward Francis Bywaters', 'actor')","('Ethel Graydon', 'actress')",,,,,,,,,,,,,,
0218032,"('Nick Nero', 'actor')","('Nick Beat', 'actor')","('Nica', 'actress')","('Mack Drake', 'actor')",,,,,,,,,,,,,,
0218053,"('Dean Campbell', 'actor')","('Brussard', 'actor')","('Cranston', 'actor')","('Swindell', 'actor')",,,,,,,,,,,,,,
0218067,"('Kristie St. Clair', 'actress')","('Marc St. Clair', 'actor')","('Carmac', 'actor')","('Dylan St. Clair', 'actor')",,,,,,,,,,,,,,
0218080,"('Cpt. Matt Hendricks', 'actor')","('Dr. Linda Christian', 'actress')","('Kretz', 'actor')","('Nadia', 'actress')",,,,,,,,,,,,,,
0218088,"('Dr. Cardan', 'actor')","('Devlon', 'actor')","('Mujer 1', 'actress')","('Official Pineda', 'actor')",,,,,,,,,,,,,,
0218107,"('John', 'actor')","('Hector', 'actor')","('Gill', 'actor')","('Nina', 'actress')",,,,,,,,,,,,,,
0218112,"(""Kieran O'Donnell"", 'actor')","(""Ian O'Donnell"", 'actor')","(""Kate O'Leary"", 'actress')","('Mary Mulligan', 'actress')",,,,,,,,,,,,,,
0218126,"('Mike Jeffers', 'actor')","('Samson', 'actor')","('Janine', 'actress')","('Sheriff Borden', 'actor')",,,,,,,,,,,,,,
0218138,"('Quentin', 'actor')","('Lucy Littlejohn', 'actress')","('Roxanne', 'actress')","('Giles', 'actor')",,,,,,,,,,,,,,
0218141,"('Silly', 'actress')","('Celia', 'actress')","('Claire', 'actress')","('James', 'actor')",,,,,,,,,,,,,,
0218181,"('Eugénie', 'actress')","('Stepdaughter', 'actress')","('Albert', 'actor')","('Stepfather', 'actor')","('Paul', 'actor')","('Kitty', 'actress')","('Hitchhiker', 'actress')",,,,,,,,,,,
0218182,"('Colm', 'actor')","('George', 'actor')","('Bronagh', 'actress')","('Gerty', 'actress')",,,,,,,,,,,,,,
0218298,"('Phil', 'actor')","('Eric', 'actor')","('Cat Hardy', 'actress')","('T.J.', 'actor')",,,,,,,,,,,,,,
0218378,"('Donald Dalglish', 'actor')","('Daniel Dillon', 'actor')","('Stagecoach Driver', 'actor')","('German', 'actor')",,,,,,,,,,,,,,
0218379,"('Weinraub', 'actor')","('Ruso', 'actor')","('Dr. Klausner', 'actor')","('The Pilot', 'actor')",,,,,,,,,,,,,,
0218380,"('Lida Radeck', 'actress')","('Moira Ray', 'actress')","('Moroni', 'actor')","('Guard', 'actor')","('Stripper', 'actress')","('Paul Radeck', 'actor')",,,,,,,,,,,,
0218411,"(""Bertold 'Barry' Bohmer"", 'actor')","('Christine Moyo', 'actress')","('Gasa', 'actor')","('Terror', 'actor')",,,,,,,,,,,,,,
0218426,"('June', 'actress')","('Robert Kiely', 'actor')","('Adele', 'actress')","('Joyce', 'actress')",,,,,,,,,,,,,,
0218430,"('Mauá Irineu Evangelista de Souza', 'actor')","('May', 'actress')","('Visconde de Feitosa', 'actor')","('Mr. Richard Carruthers', 'actor')",,,,,,,,,,,,,,
0218533,"('Major Jaidev Rajvansh', 'actor')","('Anjali', 'actress')","('Pooja Mallapa', 'actress')","('Colonel Hussein', 'actor')",,,,,,,,,,,,,,
0218553,"('Mai Takano', 'actress')","('Masami Kurahashi', 'actress')","('Kanae Sawaguchi', 'actress')","('Kawajiri Ishi', 'actor')",,,,,,,,,,,,,,
0218559,"('Margreta', 'actress')","('Ali', 'actor')","('Ahmed', 'actor')","('Belly Dancer', 'actress')",,,,,,,,,,,,,,
0218564,"('Ana', 'actress')","('Martín', 'actor')","('Luis', 'actor')","('Greta', 'actress')",,,,,,,,,,,,,,
0218581,"('Anna Battista', 'actress')","('Kirk Vaines', 'actor')","('Aaron Ulrich', 'actor')","('Dr. Pascuccia', 'actor')",,,,,,,,,,,,,,
0218599,"('Frances', 'actress')","('Ivan Leszko', 'actor')","('Michael', 'actor')","('Lara', 'actress')",,,,,,,,,,,,,,
0218604,"('Shandra', 'actress')","('Ellen', 'actress')","('Cord', 'actor')","('Karen', 'actress')",,,,,,,,,,,,,,
0218616,"('Ray', 'actor')","('Pete', 'actor')","('Laura', 'actress')","('Mandy', 'actress')",,,,,,,,,,,,,,
0218619,"('Cassie', 'actress')","('Matt', 'actor')","('Sean', 'actor')","('Annabel', 'actress')",,,,,,,,,,,,,,
0218625,"('Psychic - Madison Charap - Participant', 'actress')","('Ghost Historian', 'actor')","('History Student - Ryan Larson - Participant', 'actress')","('Paul Cason - Team Leader', 'actor')",,,,,,,,,,,,,,
0218641,"('Jeff Cort', 'actor')","('Agent Jim Carpenter', 'actor')","('Agent Mack Taylor', 'actor')","('Tiffany Stevens', 'actress')",,,,,,,,,,,,,,
0218705,"('Nicholas Winton', 'actor')","('Jakub Silberstein', 'actor')","('Samuel', 'actor')","('Irma', 'actress')",,,,,,,,,,,,,,
0218741,"('Luis', 'actor')","('Sira', 'actress')","('Madre', 'actress')","('Don Vicente', 'actor')",,,,,,,,,,,,,,
0218798,"('The Stepmother', 'actress')","('The Daughter', 'actress')","('The Stepdaughter', 'actress')","('The Queen', 'actress')",,,,,,,,,,,,,,
0218800,"('Benjamin Kasparian', 'actor')","('Jeremiah', 'actor')","('Amanda', 'actress')","('Curator', 'actor')",,,,,,,,,,,,,,
0218802,"('Stelios', 'actor')","('Eleni', 'actress')","('Tryfonas Platanias', 'actor')","('Lieutenant Willy Knut', 'actor')","('Sergeant', 'actor')",,,,,,,,,,,,,
0218817,"('Milo Hoffman', 'actor')","('Gary Winston', 'actor')","('Lisa Calighan', 'actress')","('Alice Poulson', 'actress')",,,,,,,,,,,,,,
0218822,"('Julia', 'actress')","('Adela, The Godmother', 'actress')","('Nicolás', 'actor')","('La Marrana', 'actor')",,,,,,,,,,,,,,
0218824,"('Jenny', 'actress')","('William', 'actor')","('Isobella', 'actress')","('Dr. Adams', 'actor')",,,,,,,,,,,,,,
0218839,"('Buck Laughlin', 'actor')","('Gerry Fleck', 'actor')","('Cookie Fleck', 'actress')","('Sherri Ann Cabot', 'actress')",,,,,,,,,,,,,,
0218864,"('David Collins', 'actor')","('Jonesy', 'actor')","('Sarah', 'actress')","('Mike Hanson', 'actor')",,,,,,,,,,,,,,
0218922,"('Luis Antonio Vargas', 'actor')","('Julia Russell', 'actress')","('Bonny Castle', 'actress')","('Billy', 'actor')","('Walter Downs', 'actor')","('Mephisto', 'actor')","('Alan Jordan', 'actor')",,,,,,,,,,,
0218937,"('David Andrews', 'actor')","('Susan', 'actress')","('Michael Andrews', 'actor')","('Pete', 'actor')",,,,,,,,,,,,,,
0218967,"('Jack Campbell', 'actor')","('Kate Reynolds', 'actress')","('Cash', 'actor')","('Arnie', 'actor')",,,,,,,,,,,,,,
0219035,"('Heaven', 'actress')","('Sin', 'actress')","('Salacity', 'actor')","('Bernie', 'actor')","('Karen', 'actress')",,,,,,,,,,,,,
0219058,"('Galai', 'actress')","('actress', 'actress')","('Raftal', 'actor')","('producer', 'actor')","('Gilles', 'actor')","('Naki', 'actor')",,,,,,,,,,,,
0219096,"('Alex Kerwood', 'actor')","('Helen Kerwood', 'actress')","('Larry Gorham', 'actor')","('Wayne Higley', 'actor')",,,,,,,,,,,,,,
0219126,"('Paul Cleveland', 'actor')","('Usher', 'actor')","('Georgia', 'actress')","('Steven', 'actor')",,,,,,,,,,,,,,
0219171,"('Tom Ripley', 'actor')","('Heloise Plisson', 'actress')","('Bernard Sayles', 'actor')","('Cynthia', 'actress')",,,,,,,,,,,,,,
0219175,"('Mitch Cobb', 'actress')","('Pedro', 'actor')","('Sam', 'actor')","('Ambassador Mills', 'actor')",,,,,,,,,,,,,,
0219214,"('Atamansha', 'actress')","('Troubadour-jr.', 'actor')","('King', 'actor')","('Cat', 'actor')","('Troubadour', 'actor')","('Princess', 'actress')",,,,,,,,,,,,
0219216,"('Dimitris Nikolaou', 'actor')","('Stella Salvatore', 'actress')","('Lieutenant Schweitzer', 'actor')","('Iason Nikolaou', 'actor')",,,,,,,,,,,,,,
0219272,"('Witt Hampton', 'actor')","('Detective Meyers', 'actor')","('Deputy', 'actor')","('Sally Fortner', 'actress')",,,,,,,,,,,,,,
0219275,"('The Family Man', 'actor')","('Alden', 'actor')","('Brian', 'actor')","('Vickie', 'actress')",,,,,,,,,,,,,,
0219288,"('Vesna', 'actress')","('Hanka', 'actress')","('Petr', 'actor')","('Jakub', 'actor')",,,,,,,,,,,,,,
0219327,"('Toni Cocozza', 'actor')","('Irene', 'actress')","('Chisolm', 'actor')","('Bill', 'actor')",,,,,,,,,,,,,,
0219333,"('Leila Murray', 'actress')","('Gary Jensen', 'actor')","('Young Girl', 'actress')","('Rick Schmidt', 'actor')",,,,,,,,,,,,,,
0219347,"('Norman Martell', 'actor')","('Helen Martell', 'actress')","('Peggy Hill', 'actress')","('Dr. Murdoch', 'actor')",,,,,,,,,,,,,,
0219350,"('Theoni', 'actress')","('Neokosmos', 'actor')","('Stelios', 'actor')","('Loukia', 'actress')",,,,,,,,,,,,,,
0219369,"('David Koskas', 'actor')","('Léa Pastore', 'actress')","('Sarafian Zacharie', 'actor')","('Pascal Olmetti', 'actor')",,,,,,,,,,,,,,
0219374,"('Grace Beasley', 'actress')","('Dirk Simpson', 'actor')","('Victor Fox', 'actor')","(""'Hitchcock Railway' Dancer"", 'actress')",,,,,,,,,,,,,,
0219394,"('Boon', 'actor')","('TV-presentatrice', 'actress')","('Roza', 'actress')","('Koelie', 'actor')",,,,,,,,,,,,,,
0219400,"('Lonnie Earl Dodd', 'actor')","('Candy Kirkendall', 'actress')","('Roy Kirkendall', 'actor')","('Darlene Dodd', 'actress')",,,,,,,,,,,,,,
0219405,"('Tom Bennett', 'actor')","('Brad', 'actor')","('Sandra West', 'actress')","('Curt Schwin', 'actor')",,,,,,,,,,,,,,
0219408,"('Giovanni Bazinni', 'actor')","('Val Bazinni', 'actress')","('Pop Bazinni', 'actor')","('Contessa Bazinni', 'actress')",,,,,,,,,,,,,,
0219469,"('James Stockton', 'actor')","('Lisa Stockton', 'actress')","('Stamos', 'actor')","(""Thomas O'Claire"", 'actor')",,,,,,,,,,,,,,
0219519,"('John Nolan', 'actor')","('Lucy Brown', 'actress')","('Carol', 'actress')","('Roy Mason', 'actor')",,,,,,,,,,,,,,
0219636,"('Robber', 'actress')","('Mr. Warner', 'actor')","('Writer One', 'actress')","('Clyde', 'actor')",,,,,,,,,,,,,,
0219640,"('Stan Marshall', 'actor')","('Dillon Johansen', 'actor')","('Deputy Mayor John Ellis', 'actor')","('Savanna', 'actress')",,,,,,,,,,,,,,
0219653,"('Dracula', 'actor')","('Mary Heller-Van Helsing', 'actress')","('Simon Sheppard', 'actor')","('Abraham Van Helsing', 'actor')",,,,,,,,,,,,,,
0219682,"('Ghu', 'actor')","('Chaidan', 'actor')","('Numkang', 'actress')","('Pongkhet', 'actor')",,,,,,,,,,,,,,
0219699,"('Annie Wilson', 'actress')","('Jessica King', 'actress')","('Donnie Barksdale', 'actor')","('Buddy Cole', 'actor')",,,,,,,,,,,,,,
0219761,"('Klaus Uhltzscht', 'actor')","('Yvonne Anders', 'actress')","('Klaus als Kind', 'actor')","('Yvonne als Kind', 'actress')",,,,,,,,,,,,,,
0219822,"('Dr. Nathan Bronfman', 'actor')","('Lila Jute', 'actress')","('Puff', 'actor')","('Police Detective', 'actor')",,,,,,,,,,,,,,
0219854,"('Russ Duritz', 'actor')","('Rusty Duritz', 'actor')","('Amy', 'actress')","('Janet', 'actress')",,,,,,,,,,,,,,
0219876,"('Kamilla', 'actress')","('Rock', 'actor')","('Henrik', 'actor')","('Walther', 'actor')",,,,,,,,,,,,,,
0219887,"('Fai-lone', 'actor')","('Sing', 'actor')","('Tong Man-chun', 'actor')","('Lam', 'actor')","('Fanny', 'actress')","('Chow', 'actor')",,,,,,,,,,,,
0219919,"('Les', 'actor')","('Teri', 'actress')","('Nick', 'actor')","('Brunette', 'actress')",,,,,,,,,,,,,,
0219952,"('Russ Richards', 'actor')","('Crystal', 'actress')","('Gig', 'actor')","('Dick Simmons', 'actor')",,,,,,,,,,,,,,
0219957,"('Luke', 'actor')","('Nicky', 'actress')","('Tyler', 'actor')","('Jimmy Neil', 'actor')",,,,,,,,,,,,,,
0219965,"('Joe Blake', 'actor')","('Terry Collins', 'actor')","('Kate Wheeler', 'actress')","('Harvey Pollard', 'actor')",,,,,,,,,,,,,,
0220016,"('Hloi', 'actress')","('Dr. Apostolos Drougas', 'actor')","('Makis', 'actor')","('Vivi', 'actress')",,,,,,,,,,,,,,
0220018,"('Jerry', 'actor')","('Agnes', 'actress')","('Nick', 'actor')","('Daisy', 'actress')",,,,,,,,,,,,,,
0220029,"('Dan Burgess', 'actor')","('Muriel', 'actor')","('Doug', 'actor')","('Tamara', 'actress')",,,,,,,,,,,,,,
0220095,"('DJ', 'actor')","('Lonzo', 'actor')","('Slink', 'actor')","(""Lil' Ant"", 'actor')",,,,,,,,,,,,,,
0220099,"('Tigger', 'actor')","('Winnie the Pooh', 'actor')","('Roo', 'actor')","('Rabbit', 'actor')","('Piglet', 'actor')",,,,,,,,,,,,,
0220100,"('Lauren Hathaway', 'actress')","('Alex Green', 'actor')","('Rose', 'actress')","('Evan Wantz', 'actor')",,,,,,,,,,,,,,
0220107,"('Alice Mason', 'actress')","('Dr. Brooks', 'actor')","('Dr. Crosby', 'actor')","('Jim Baker', 'actor')",,,,,,,,,,,,,,
0220118,"('Michalis Vidas', 'actor')","('Apostolos Apostolou', 'actor')",,,,,,,,,,,,,,,,
0220136,"('Julio', 'actor')","('Roberto Mondragón', 'actor')","('Mayra Mondragón', 'actress')","('Bruja', 'actor')",,,,,,,,,,,,,,
0220157,"('Brendan', 'actor')","('Trudy', 'actress')","('Mother', 'actress')","('Nuala', 'actress')",,,,,,,,,,,,,,
0220307,"('The Waiter', 'actor')","('Neighbor', 'actress')","('Student', 'actor')",,,,,,,,,,,,,,,
0220311,"('Marina Vorissi', 'actress')","('Christos', 'actor')","('Michalis Vorissis', 'actor')","('Fani Vorissi', 'actress')",,,,,,,,,,,,,,
0220343,"('Inez Macbeth', 'actress')","('Edgar Macbeth', 'actor')","('Flowers', 'actor')","('Druden Hunt', 'actor')",,,,,,,,,,,,,,
0220363,"('Mahboobeh', 'actress')","('Jomeh', 'actor')","('Davood', 'actor')",,,,,,,,,,,,,,,
0220379,"('Seiichiro Fukiya', 'actor')","('Kogoro Akechi', 'actor')","('Mayumi Hanazaki', 'actress')",,,,,,,,,,,,,,,
0220396,"('Tsutomu', 'actor')","('Kee', 'actor')",,,,,,,,,,,,,,,,
0220400,"('Camille', 'actor')","('Solange', 'actress')","('Professeur Helpos', 'actor')","('Mlle Guerensky', 'actress')",,,,,,,,,,,,,,
0220450,"('Prologue', 'actor')","('Stage 1', 'actress')","('Stage 1', 'actor')","('Stage 1', 'actor')",,,,,,,,,,,,,,
0220470,"('Margarita Martin', 'actress')","('Dr. Antonio', 'actor')","('Irina Farkas', 'actress')","('Petra', 'actress')",,,,,,,,,,,,,,
0220506,"('Laurie Strode', 'actress')","('Freddie Harris', 'actor')","('Michael Myers', 'actor')","('Sara Moyer', 'actress')",,,,,,,,,,,,,,
0220507,"('Min Ki', 'actor')","('Husband', 'actor')","('Bora', 'actress')","('Wife', 'actress')","('Il-beom', 'actor')","(""Bora's Lover"", 'actor')","('Mi-yong', 'actress')","('Neighbour', 'actress')","('Bookstore owner', 'actor')",,,,,,,,,
0220514,"('DJ Sabu', 'actor')","('Happy', 'actor')","(""Spanky O'Niel"", 'actor')","('Ricky G', 'actor')",,,,,,,,,,,,,,
0220569,"('Tom', 'actor')","('Nico', 'actress')","('Tina', 'actress')",,,,,,,,,,,,,,,
0220570,"('Harumi', 'actress')","('stripper', 'actress')","('Mari', 'actress')","('stripper', 'actress')","('Daikichi', 'actor')","('Isamu', 'actor')","('Police woman', 'actress')","(""Noodle restaurant's owner"", 'actor')",,,,,,,,,,
0220580,"('Samuel', 'actor')","('Federico', 'actor')","('Tomás', 'actor')","('Sara', 'actress')",,,,,,,,,,,,,,
0220594,"('Raja', 'actor')","('Jeet Balraj', 'actor')","('ACP Jay Suryavanshi', 'actor')","('Manpreet \\Mini\\ Kaur', 'actress')","('Jagat Jogia', 'actor')",,,,,,,,,,,,,
0220596,"('Babu', 'actor')","('Neha Verma', 'actress')","('Inspector Arjun', 'actor')","('Ritu Pereira', 'actress')",,,,,,,,,,,,,,
0220597,"('Sanju (Sanjay Shastri)', 'actor')","('Shivani', 'actress')","(""Dilip Chaudhary (Shivani's father)"", 'actor')","('Sudha Chaudhary (Dadiji)', 'actress')",,,,,,,,,,,,,,
0220602,"('Giorgos', 'actor')","('Kostas', 'actor')","('Fanis', 'actor')","('Katerina', 'actress')",,,,,,,,,,,,,,
0220616,"('TV-tekniker', 'actor')","('Anna', 'actress')","('Flygplatstjänsteman', 'actor')","('Morfar Hugo', 'actor')",,,,,,,,,,,,,,
0220623,"('Johan Falk', 'actor')","('Sven', 'actor')","('Pernilla', 'actress')","('Jeanette', 'actress')",,,,,,,,,,,,,,
0220627,"('Bibiane Champagne', 'actress')","('Evian', 'actor')","('Claire Gunderson', 'actress')","('The Fish', 'actor')",,,,,,,,,,,,,,
0220631,"('Ramallo', 'actor')","('Manuel', 'actor')","('Sor Francisca', 'actress')","('Galindo', 'actor')",,,,,,,,,,,,,,
0220640,"('Haralambos Lardis', 'actor')","('Alec Bakas', 'actor')","('Anna Lardi', 'actress')","('Grandmother', 'actress')","('Dimitris Bakas', 'actor')","('Eleni Baka', 'actress')",,,,,,,,,,,,
0220642,"('Anna Koleti', 'actress')","('Dimitris Zorbas', 'actor')","('Hans Fischer', 'actor')","('Yorgos Koletis', 'actor')",,,,,,,,,,,,,,
0220644,"('Curtis', 'actor')","('Roy', 'actor')","('Shin', 'actor')","('Mike', 'actor')",,,,,,,,,,,,,,
0220651,"('Dona', 'actress')","('Director', 'actor')","('Motorista', 'actor')","('Heroinòman', 'actor')",,,,,,,,,,,,,,
0220652,"('Eamon Manley', 'actor')","('Rosie', 'actress')","('Millicent', 'actress')","(""'Mad Dog' Billy Wilson"", 'actor')",,,,,,,,,,,,,,
0220656,"('Pugazhendhi', 'actor')","('Thenmozhi', 'actress')","('Aranganathan', 'actor')","('Balvesham', 'actor')",,,,,,,,,,,,,,
0220672,"('Figaro', 'actor')","('Susanna', 'actress')","('Il Conte di Almaviva', 'actor')","('La Contessa di Almaviva', 'actress')",,,,,,,,,,,,,,
0220688,"('Kosmas Peristeris', 'actor')","('Lolita Moreno', 'actress')","('Mr. Panagakos', 'actor')","('Mihalis', 'actor')",,,,,,,,,,,,,,
0220703,"('Inspector', 'actor')","('Susana Grey', 'actress')","('Asesino', 'actor')","('Padre Orduña', 'actor')",,,,,,,,,,,,,,
0220715,"('Pipis Parlapipas', 'actor')","('Virginia', 'actress')","('Evgenios', 'actor')","('Amalia', 'actress')",,,,,,,,,,,,,,
0220726,"('Franck', 'actor')","('Le père de Franck', 'actor')","('La mère de Franck', 'actress')","('Sylvie', 'actress')",,,,,,,,,,,,,,
0220757,"('Samar Pratap Singh', 'actor')","('Manjari Singh', 'actress')","('Bachoo Yadav', 'actor')","('Lalan Singh', 'actor')",,,,,,,,,,,,,,
0220762,"('Dr. Billy Taylor', 'actor')","('Nurse Bimbo (Brenda)', 'actress')","('Raw Dog', 'actor')","('Dr. (Biff) Slaughter, Jr.', 'actor')",,,,,,,,,,,,,,
0220806,"('Detective Cho', 'actor')","('Chae Su-Yeon', 'actress')","('Detective Oh', 'actor')","('Seungmin Oh', 'actress')",,,,,,,,,,,,,,
0220827,"('Moretti', 'actor')","('Giacomo', 'actor')","('Gloria', 'actress')","('Mr. Betti', 'actor')",,,,,,,,,,,,,,
0220832,"('Raghunath Namdev Shivalkar', 'actor')","('Sonia', 'actress')","('Shanta Shivalkar', 'actress')","('Namdev Shivalkar', 'actor')",,,,,,,,,,,,,,
0220839,"('Mihalis Karamanos', 'actor')","('General Manager of TOE', 'actor')","('Petros Savvidis', 'actor')","('Panos Balourdos', 'actor')","('Maro Dimou', 'actress')","('Ahilleas Lambrou', 'actor')",,,,,,,,,,,,
0220843,"('W2', 'actor')","('Praxis', 'actor')","('Maj. R.A. Medina', 'actor')","('Alice', 'actress')",,,,,,,,,,,,,,
0220864,"('Guy', 'actor')","('Mary', 'actress')","('Hiroki', 'actor')","('Onix', 'actress')",,,,,,,,,,,,,,
0220869,"('Child', 'actor')","('Arvis Mezaks', 'actor')","('Concordia', 'actress')","(""Raimond's mother"", 'actress')",,,,,,,,,,,,,,
0220964,"('Bendeleider', 'actor')","('Monnik', 'actor')","('Kasteelvrouw', 'actress')",,,,,,,,,,,,,,,
0220982,"('Cole Sheridan', 'actor')","('Elizabeth Sheridan', 'actress')","('Tony Blanchard', 'actor')","('Willie Kassel', 'actor')",,,,,,,,,,,,,,
0221008,"('Emilio', 'actor')","('Guillermo', 'actor')","('Ana', 'actress')","('Victoria', 'actress')",,,,,,,,,,,,,,
0221013,"('Séraphin Poudrier', 'actor')","('Donalda Laloge', 'actress')","('Alexis Labranche', 'actor')","('Père Laloge', 'actor')",,,,,,,,,,,,,,
0221027,"('George Jung', 'actor')","('Mirtha Jung', 'actress')","('Barbara Buckley', 'actress')","('Ermine Jung', 'actress')",,,,,,,,,,,,,,
0221063,"('Rumpy', 'actor')","('Radio presenter', 'actor')","('Juan (segment \\Patas negras\\)', 'actor')","('Claudia', 'actress')","('Wife (segment \\Patas negras\\)', 'actress')","('Lalo', 'actor')","(""Husband-Juan's cousin (segment \\Patas negras\\)"", 'actor')",,,,,,,,,,,
0221069,"('Ed Saxon', 'actor')","('Susie', 'actress')","('Officer Stewart', 'actor')","('Detective Derm', 'actor')",,,,,,,,,,,,,,
0221073,"('Chopper', 'actor')","('Jimmy Loughnan', 'actor')","('Neville Bartos', 'actor')","('Television Interviewer', 'actress')",,,,,,,,,,,,,,
0221074,"('Ray Clouds on Fire', 'actor')","('Joe Clouds on Fire', 'actor')","('Tina Littlehawk', 'actress')","(""Stu O'Malley"", 'actor')",,,,,,,,,,,,,,
0221115,"('Antonio', 'actor')","(""Antonio's Mother"", 'actress')","('Luca', 'actor')","('Mara', 'actress')",,,,,,,,,,,,,,
0221162,"('El Albino', 'actor')",,,,,,,,,,,,,,,,,
0221197,"('Dean Crept', 'actor')","('Mike Mattress', 'actor')","('Buster Lloyd', 'actor')","('Greydon Lake', 'actor')",,,,,,,,,,,,,,
0221218,"('Erin Glass', 'actress')","('Ruby Baker', 'actress')","(""Terrence 'Terry' Glass"", 'actor')","('Begleiter', 'actor')",,,,,,,,,,,,,,
0221269,"('Terry Nelson', 'actress')","('Daughter', 'actress')","('Preston King', 'actor')","('Father', 'actor')","('Victoria', 'actress')","(""Preston's Girlfriend"", 'actress')","('Reggie', 'actor')","('Art Gallery owner', 'actor')",,,,,,,,,,
0221297,"('Katherine Sullivan', 'actress')","('Jack Mize', 'actor')","('Charles Sullivan', 'actor')","('Sarah Harper', 'actress')",,,,,,,,,,,,,,
0221314,"('Boatman', 'actor')","('Evdokia Iordanidou', 'actress')","('Sali Urphalioglu', 'actor')","('Maria', 'actress')","('Rais', 'actor')",,,,,,,,,,,,,
0221315,"('Dean', 'actor')","('Ed Novak', 'actor')","('Romy', 'actress')","('Paul Honcek', 'actor')",,,,,,,,,,,,,,
0221321,"('Hiroshi Kitano', 'actor')","('Hideaki Sasaki', 'actor')","('Akio Katayama', 'actor')","('Hideki Matsubara', 'actor')",,,,,,,,,,,,,,
0221344,"('Juan Vargas', 'actor')","('López', 'actor')","('Rosa', 'actress')","('Ramírez', 'actor')",,,,,,,,,,,,,,
0221431,"('Sam Docherty', 'actor')","('Gary Docherty', 'actor')","('Courtney Docherty', 'actress')","('Marilyn Docherty', 'actress')",,,,,,,,,,,,,,
0221463,"('Lembo', 'actor')","('Marnie Lowell', 'actress')","('Boss', 'actor')","('Tim Hunter', 'actor')",,,,,,,,,,,,,,
0221554,"('Nathan', 'actor')","('Philippe Saule', 'actor')","('Marine', 'actress')","('Paul Benetti', 'actor')",,,,,,,,,,,,,,
0221558,"('Bent A', 'actor')","('Vibeke', 'actress')","('Kevin', 'actor')","('Sigfred', 'actor')",,,,,,,,,,,,,,
